"Job_Title","Company_Name","City_State","Company_Rating","salary_Range","Post_Date","sal_hourly","min_salary","max_salary","avg_salary","job_state","pd_hourly","job_simp","seniority"
"Data Analyst II, QA","iSpot.tv, Inc.","Bellevue, WA",4.3,"$60K-$106K (Glassdoor Est.)","12d",0,60,106,83,"WA",288,"analyst","na"
"Staff Applied Scientist-Machine Learning","Qualtrics","Seattle, WA",3.8,"$114K-$196K (Glassdoor Est.)","4d",0,114,196,155,"WA",96,"mle","na"
"Computational Biologist, real-world data","Sage Bionetworks","Seattle, WA",4.8,"$94K-$150K (Glassdoor Est.)","5d",0,94,150,122,"WA",120,"na","na"
"Staff Machine Learning Engineer - HBO Max","HBO Max","Seattle, WA",3.6,"$109K-$186K (Glassdoor Est.)","24d",0,109,186,147.5,"WA",576,"mle","na"
"Research Scientist I","Seattle Children's","Seattle, WA",3.7,"$25K-$59K (Glassdoor Est.)","24h",0,25,59,42,"WA",24,"na","na"
"Principal Applied Scientist, Machine Learning","Amazon.com Services LLC","Seattle, WA",3.9,"$183K-$280K (Glassdoor Est.)","12d",0,183,280,231.5,"WA",288,"mle","senior"
"On-Call Wetland Scientist - Environmental Consulting","SoundEarth Strategies, Inc.","Seattle, WA",4,"$35K-$56K (Glassdoor Est.)","5d",0,35,56,45.5,"WA",120,"na","na"
"Data Engineer II","Amazon","Seattle, WA",3.9,"$89K-$136K (Glassdoor Est.)","24h",0,89,136,112.5,"WA",24,"data engineer","na"
"Data Analyst","Rational","Bothell, WA",NA,"$49K-$89K (Glassdoor Est.)","21d",0,49,89,69,"WA",504,"analyst","na"
"Data Science Manager","Amazon","Seattle, WA",3.9,"$110K-$176K (Glassdoor Est.)","20d",0,110,176,143,"WA",480,"manager","na"
"Software Development Engineer, Big Data - Premier Agent","Zillow Group","Seattle, WA",4,"$98K-$175K (Glassdoor Est.)","7d",0,98,175,136.5,"WA",168,"na","na"
"Business Data Analyst - Central Business Services","Swedish Health Services","Seattle, WA",3.4,"$37K-$68K (Glassdoor Est.)","13d",0,37,68,52.5,"WA",312,"analyst","na"
"Cloud Data Engineer","DB Best Technologies","Redmond, WA",4.3,"$87K-$158K (Glassdoor Est.)","25d",0,87,158,122.5,"WA",600,"data engineer","na"
"Principal Applied Scientist- Alexa AI","Amazon","Seattle, WA",3.9,"$42K-$314K (Glassdoor Est.)","13d",0,42,314,178,"WA",312,"na","senior"
"Data Engineer II, Amazon Fuse","Amazon","Seattle, WA",3.9,"$91K-$142K (Glassdoor Est.)","10d",0,91,142,116.5,"WA",240,"data engineer","na"
"Manager, Data Science - HBO Max","HBO Max","Seattle, WA",3.6,"$109K-$172K (Glassdoor Est.)","24d",0,109,172,140.5,"WA",576,"manager","na"
"Research Scientist/Engineer 1 (Project/Temporary)","University of Washington","Seattle, WA",4.2,"$25K-$56K (Glassdoor Est.)","14d",0,25,56,40.5,"WA",336,"na","na"
